Symbol,Company
III,3i Group
ADM,Admiral Group
AAF,Airtel Africa
ALW,Alliance Witan
AAL,Anglo American
ANTO,Antofagasta
ABF,Associated British Foods
AZN,AstraZeneca
AUTO,Auto Trader Group
AV,Aviva
BAB,Babcock International
BA,BAE Systems
BARC,Barclays
BTRW,Barratt Redrow
BEZ,Beazley
BKG,Berkeley Group
BP,BP
BATS,British American Tobacco
BLND,British Land
BT-A,BT Group
BNZL,Bunzl
BRBY,Burberry Group
CNA,Centrica
CCEP,Coca-Cola Europacific Partners
CCH,Coca-Cola HBC
CPG,Compass Group
CTEC,Convatec
CRDA,Croda International
DCC,DCC
DGE,Diageo
DPLM,Diploma
EDV,Endeavour Mining
ENT,Entain
EXPN,Experian
FRAS,Frasers Group
FRES,Fresnillo
GSK,GSK
HLN,Haleon
HLMA,Halma
HIK,Hikma Pharmaceuticals
HSX,Hiscox
HWDN,Howdens Joinery
HSBA,HSBC
ICG,ICG
IHG,IHG Hotels & Resorts
IMI,IMI
IMB,Imperial Brands
INF,Informa
IAG,International Airlines Group
ITRK,Intertek Group
JD,JD Sports
KGF,Kingfisher
LAND,Land Securities
LGEN,Legal & General
LLOY,Lloyds Banking Group
LMP,LondonMetric Property
LSEG,London Stock Exchange Group
MNG,M&G
MKS,Marks & Spencer
MRO,Melrose Industries
MNDI,Mondi
NG,National Grid
NWG,NatWest Group
NXT,Next
PSON,Pearson
PSH,Pershing Square Holdings
PHNX,Phoenix Group
PRU,Prudential
RKT,Reckitt
REL,RELX
RTO,Rentokil Initial
RMV,Rightmove
RIO,Rio Tinto
RR,Rolls-Royce Holdings
SBRY,Sainsbury's
SDR,Schroders
SMT,Scottish Mortgage Investment Trust
SGRO,Segro
SVT,Severn Trent
SHEL,Shell
SN,Smith & Nephew
SMIN,Smiths Group
SWR,Smurfit Westrock
SPX,Spirax Group
SSE,SSE
STJ,St. James's Place
STAN,Standard Chartered
TW,Taylor Wimpey
TSCO,Tesco
BBOX,Tritax Big Box REIT
ULVR,Unilever
UU,United Utilities
VTY,Vistry Group
VOD,Vodafone Group
WEIR,Weir Group
WTB,Whitbread
WPP,WPP
FCH,Funding Circle
FUTR,Future
GFRD,Galliford Try
GAMA,Gamma Communications
GBG,GB Group
GNS,Genus
GNC,Greencore
GRG,Greggs
HMSO,Hammerson
HBR,Harbour Energy
HAS,Hays
HILS,Hill & Smith
HFG,Hilton Food Group
HOC,Hochschild Mining
BOWL,Hollywood Bowl Group
IBST,Ibstock
IGG,IG Group Holdings
INCH,Inchcape
INVP,Investec
ITV,ITV
JMAT,Johnson Matthey
JSG,Johnson Service Group
KNOS,Kainos
KLR,Keller Group
KIE,Kier Group
LRE,Lancashire Holdings
MSLH,Marshalls
MEGP,ME Group International
MTRO,Metro Bank
MAB,Mitchells & Butlers
MTO,Mitie
MONY,MONY Group
MOON,Moonpig
MGAM,Morgan Advanced Materials
MGNS,Morgan Sindall Group
NCC,NCC Group
N91,Ninety One
OCDO,Ocado Group
OSB,OSB Group
OXIG,Oxford Instruments
ONT,Oxford Nanopore Technologies
PAGE,PageGroup
PAF,Pan African Resources
PAG,Paragon Banking Group
PNN,Pennon Group
PETS,Pets at Home
PTEC,Playtech
PLUS,Plus500
PFD,Premier Foods
PHP,Primary Health Properties
QQ,Qinetiq
QLT,Quilter
RNK,Rank Group
RPI,Raspberry Pi Holdings
RAT,Rathbones
RSW,Renishaw
RHIM,RHI Magnesita
ROR,Rotork
RS1,RS Group
