symbol,name,headQuarter,dateFirstAdded,cik,founded
AAPL.US,Apple Inc.,"Cupertino, CA",,0000320193,1976-04-01
ABNB.US,Airbnb,"San Francisco, CA",,0001559720,2008-08-01
ADBE.US,Adobe Inc.,"San Jose, CA",,0000796343,1982-12-01
ADI.US,Analog Devices,"Wilmington, MA",,0000006281,1965-01-01
ADP.US,ADP,"Roseland, NJ",,0000008670,1949-01-01
ADSK.US,Autodesk,"San Rafael, CA",,0000769397,1982-01-30
AEP.US,American Electric Power,"Columbus, OH",,0000004904,1906-01-01
ALGN.US,Align Technology,"Tempe, AZ",,0001097149,1997-01-01
AMAT.US,Applied Materials,"Santa Clara, CA",,0000006951,1967-11-10
AMD.US,Advanced Micro Devices Inc.,"Santa Clara, CA",,0000002488,1969-05-01
AMGN.US,Amgen,"Thousand Oaks, CA",,0000318154,1980-04-08
AMZN.US,Amazon,"Seattle, WA",,0001018724,1994-07-05
ANSS.US,Ansys,"Canonsburg, PA",,0001013462,1970-01-01
ASML.US,ASML Holding,"Veldhoven, ",,0000937966,1984-01-01
ATVI.US,Activision Blizzard,"Santa Monica, CA",,0000718877,2008-07-10
AVGO.US,Broadcom Inc.,"San Jose, CA",,0001730168,1961-01-01
AZN.US,AstraZeneca,"Cambridge, ",,0000901832,1999-04-06
BIIB.US,Biogen,"Cambridge, MA",,0000875045,1978-01-01
BKNG.US,Booking Holdings,"Norwalk, CT",,0001075531,1996-01-01
BKR.US,Baker Hughes,"Houston, TX",,0001701605,1907-01-01
CDNS.US,Cadence Design Systems,"San Jose, CA",,0000813672,1988-01-01
CEG.US,Constellation Energy,"Baltimore, MD",,0001868275,1999-01-01
CHTR.US,Charter Communications,"Stamford, CT",,0001091667,1993-01-01
CMCSA.US,Comcast,"Philadelphia, PA",,0001166691,1963-11-13
COST.US,Costco,"Issaquah, WA",,0000909832,1983-09-15
CPRT.US,Copart,"Dallas, TX",,0000900075,1982-01-01
CRWD.US,CrowdStrike,"Austin, TX",,0001535527,2011-01-01
CSCO.US,Cisco,"San Jose, CA",,0000858877,1984-12-10
CSGP.US,CoStar Group,"Washington, DC",,0001057352,1987-01-01
CSX.US,CSX Corporation,"Jacksonville, FL",,0000277948,1980-11-01
CTAS.US,Cintas,"Cincinnati, OH",,0000723254,1929-01-01
CTSH.US,Cognizant,"Teaneck, NJ",,0001058290,1994-01-26
DDOG.US,Datadog,"New York, NY",,0001561550,2010-01-01
DLTR.US,Dollar Tree,"Chesapeake, VA",,0000935703,2001-01-01
DXCM.US,DexCom,"San Diego, CA",,0001093557,1999-01-01
EA.US,Electronic Arts,"Redwood City, CA",,0000712515,1982-05-27
EBAY.US,eBay,"San Jose, CA",,0001065088,1995-09-03
ENPH.US,Enphase Energy,"Fremont, CA",,0001463101,2006-01-01
EXC.US,Exelon,"Chicago, IL",,0001109357,2000-10-20
